Cod_Mun,Mun,Referência,Pes_PBF,Pes_Cad,F_PBF_Domi,F_PBF_EP,F_CAD_EP
35099571020,Canas,10/20,1331.0,2452.0,26.48,0.0,491.0
35100051020,Cândido Mota,10/20,2962.0,7498.0,9.01,0.0,724.0
35101041020,Cândido Rodrigues,10/20,293.0,841.0,9.54,0.0,115.0
35101531020,Canitar,10/20,973.0,2470.0,18.32,0.0,294.0
35102031020,Capão Bonito,10/20,11951.0,23958.0,25.18,0.0,3146.0
35103021020,Capela do Alto,10/20,3883.0,8377.0,16.52,0.0,1204.0
35104011020,Capivari,10/20,7352.0,12390.0,15.2,0.0,3395.0
35105001020,Caraguatatuba,10/20,17869.0,42280.0,15.0,0.0,5392.0
35106091020,Carapicuíba,10/20,67384.0,122653.0,18.44,0.0,24652.0
35107081020,Cardoso,10/20,964.0,3538.0,6.35,0.0,131.0
35108071020,Casa Branca,10/20,3824.0,6729.0,13.8,0.0,1315.0
35109061020,Cássia dos Coqueiros,10/20,324.0,945.0,10.48,0.0,66.0
35110031020,Castilho,10/20,2245.0,7171.0,9.73,0.0,478.0
35111021020,Catanduva,10/20,5755.0,15925.0,4.52,0.0,1697.0
35112011020,Catiguá,10/20,648.0,1990.0,8.06,0.0,196.0
35113001020,Cedral,10/20,483.0,3123.0,4.56,0.0,139.0
35114091020,Cerqueira César,10/20,2404.0,6081.0,10.97,0.0,665.0
35115081020,Cerquilho,10/20,2200.0,7458.0,4.29,0.0,672.0
35116071020,Cesário Lange,10/20,1216.0,3500.0,6.53,0.0,214.0
35117061020,Charqueada,10/20,1957.0,3774.0,11.87,0.0,841.0
35119041020,Clementina,10/20,905.0,2799.0,10.0,0.0,230.0
35120011020,Colina,10/20,2032.0,3877.0,12.51,0.0,838.0
35121001020,Colômbia,10/20,1312.0,3864.0,22.64,0.0,560.0
35122091020,Conchal,10/20,4935.0,9268.0,17.41,0.0,1863.0
35123081020,Conchas,10/20,2079.0,4801.0,11.47,0.0,591.0
35124071020,Cordeirópolis,10/20,1743.0,6260.0,7.61,0.0,536.0
35125061020,Coroados,10/20,794.0,2855.0,10.47,0.0,223.0
35126051020,Coronel Macedo,10/20,851.0,2326.0,16.1,0.0,248.0
35127041020,Corumbataí,10/20,518.0,1195.0,13.41,0.0,221.0
35128031020,Cosmópolis,10/20,4290.0,10260.0,6.1,0.0,1329.0
35129021020,Cosmorama,10/20,1147.0,3076.0,14.21,0.0,505.0
35130091020,Cotia,10/20,18270.0,49541.0,7.06,0.0,5350.0
35131081020,Cravinhos,10/20,3940.0,8471.0,12.1,0.0,1922.0
35132071020,Cristais Paulista,10/20,964.0,2800.0,10.24,0.0,257.0
35133061020,Cruzália,10/20,232.0,1170.0,9.48,0.0,289.0
35134051020,Cruzeiro,10/20,9597.0,18063.0,11.1,0.0,2189.0
35135041020,Cubatão,10/20,18078.0,28898.0,14.71,0.0,6896.0
