Cod_Mun,Mun,Referencia,Pes_PBF,Pes_Cad,F_PBF_Domi,F_PBF_EP,F_CAD_EP
35362570120,Parisi,01/20,460.0,1198,"19,52",141,199.0
35363070120,Patrocínio Paulista,01/20,1336.0,3933,"8,01",217,337.0
35364060120,Paulicéia,01/20,1766.0,3536,"24,08",486,607.0
35365050120,Paulínia,01/20,8514.0,22697,"8,37",2438,3484.0
35365700120,Paulistânia,01/20,307.0,997,"16,24",70,103.0
35366040120,Paulo de Faria,01/20,1120.0,2744,"13,58",173,218.0
35367030120,Pederneiras,01/20,4770.0,11415,"10,11",1070,1516.0
35368020120,Pedra Bela,01/20,817.0,1781,"12,23",190,261.0
35369010120,Pedranópolis,01/20,120.0,1157,"4,25",25,32.0
35370080120,Pedregulho,01/20,2948.0,5309,"18,11",917,1176.0
35371070120,Pedreira,01/20,2979.0,10042,"7,42",989,1558.0
35371560120,Pedrinhas Paulista,01/20,256.0,1158,"7,81",56,75.0
35372060120,Pedro de Toledo,01/20,2750.0,5232,"21,99",678,877.0
35373050120,Penápolis,01/20,4819.0,11633,"7,45",1148,1534.0
35374040120,Pereira Barreto,01/20,2116.0,5359,"7,55",387,447.0
35375030120,Pereiras,01/20,684.0,2436,"5,66",57,95.0
35376020120,Peruíbe,01/20,14770.0,29740,"23,31",3856,5215.0
35377010120,Piacatu,01/20,399.0,2159,"5,85",55,58.0
35378000120,Piedade,01/20,5767.0,14685,"10,25",1224,1800.0
35379090120,Pilar do Sul,01/20,2927.0,7820,"8,73",326,378.0
35380060120,Pindamonhangaba,01/20,21125.0,46519,"12,47",5445,7187.0
35381050120,Pindorama,01/20,1003.0,2966,"5,59",230,294.0
35382040120,Pinhalzinho,01/20,1544.0,4740,"9,05",242,371.0
35383030120,Piquerobi,01/20,583.0,1563,"14,57",145,193.0
35385010120,Piquete,01/20,1795.0,4544,"11,76",342,415.0
35386000120,Piracaia,01/20,3348.0,7164,"11,52",644,839.0
35387090120,Piracicaba,01/20,27570.0,76477,"6,96",7201,10193.0
35388080120,Piraju,01/20,3780.0,8409,"11,85",1050,1417.0
35389070120,Pirajuí,01/20,2397.0,5430,"12,24",780,1050.0
35390040120,Pirangi,01/20,561.0,2062,"4,68",117,194.0
35391030120,Pirapora do Bom Jesus,01/20,3007.0,5915,"14,85",744,1094.0
35392020120,Pirapozinho,01/20,1770.0,4931,"6,18",306,324.0
35393010120,Pirassununga,01/20,3588.0,11284,"4,21",696,1049.0
35394000120,Piratininga,01/20,841.0,3168,"5,84",156,243.0
35395090120,Pitangueiras,01/20,4017.0,8614,"10,06",1016,1325.0
35396080120,Planalto,01/20,581.0,1923,"10,03",116,181.0
35397070120,Platina,01/20,786.0,1638,"22,78",242,330.0
35398060120,Poá,01/20,18462.0,38704,"17,23",5800,7946.0
35399050120,Poloni,01/20,740.0,2235,"11,90",172,246.0
35400020120,Pompéia,01/20,1350.0,6063,"5,71",175,217.0
35401010120,Pongaí,01/20,407.0,928,"9,90",102,143.0
35402000120,Pontal,01/20,3936.0,9550,"7,77",726,1029.0
35402590120,Pontalinda,01/20,553.0,2012,"9,47",73,101.0
35403090120,Pontes Gestal,01/20,232.0,1101,"9,36",64,116.0
35404080120,Populina,01/20,802.0,1918,"17,90",261,352.0
35405070120,Porangaba,01/20,1025.0,2737,"8,61",159,192.0
35406060120,Porto Feliz,01/20,2936.0,9901,"5,12",486,774.0
35407050120,Porto Ferreira,01/20,3246.0,9513,"5,98",754,900.0
35407540120,Potim,01/20,3325.0,7359,"17,07",799,1053.0
35408040120,Potirendaba,01/20,987.0,3756,"5,13",121,196.0
35408530120,Pracinha,01/20,427.0,884,"33,27",180,231.0
35409030120,Pradópolis,01/20,2675.0,4423,"12,68",791,1014.0
35410000120,Praia Grande,01/20,22959.0,53024,"6,24",4258,4875.0
35410590120,Pratânia,01/20,1490.0,3857,"28,23",337,451.0
35411090120,Presidente Alves,01/20,443.0,1349,"8,44",75,105.0
35412080120,Presidente Bernardes,01/20,1327.0,3930,"8,95",286,323.0
35413070120,Presidente Epitácio,01/20,3147.0,14988,"6,29",150,227.0
35414060120,Presidente Prudente,01/20,13687.0,47148,"6,07",3544,5062.0
35415050120,Presidente Venceslau,01/20,2860.0,7360,"7,54",624,865.0
35416040120,Promissão,01/20,3380.0,8642,"7,55",458,594.0
35416530120,Quadra,01/20,821.0,1850,"17,84",166,228.0
35417030120,Quatá,01/20,2117.0,4604,"14,48",636,862.0
35418020120,Queiroz,01/20,340.0,1141,"10,17",76,116.0
35419010120,Queluz,01/20,1364.0,4189,"11,13",358,406.0
35420080120,Quintana,01/20,1010.0,2116,"15,80",309,401.0
35421070120,Rafard,01/20,976.0,1996,"11,36",294,415.0
35422060120,Rancharia,01/20,3319.0,8344,"10,32",762,1051.0
35423050120,Redenção da Serra,01/20,923.0,1829,"23,46",286,392.0
35424040120,Regente Feijó,01/20,1144.0,4441,"5,24",219,305.0
35425030120,Reginópolis,01/20,410.0,1288,"6,55",50,72.0
35426020120,Registro,01/20,8899.0,21970,"15,11",1782,2485.0
35427010120,Restinga,01/20,1185.0,3146,"14,43",208,306.0
35428000120,Ribeira,01/20,1022.0,1960,"32,21",308,398.0
35429090120,Ribeirão Bonito,01/20,1331.0,2836,"8,18",281,366.0
35430060120,Ribeirão Branco,01/20,4798.0,10522,"24,69",732,1016.0
35431050120,Ribeirão Corrente,01/20,763.0,1977,"13,87",115,185.0
35432040120,Ribeirão do Sul,01/20,738.0,2253,"16,26",174,225.0
35432380120,Ribeirão dos Índios,01/20,354.0,1120,"15,58",105,128.0
35432530120,Ribeirão Grande,01/20,1349.0,3669,"16,01",270,332.0
35433030120,Ribeirão Pires,01/20,8486.0,23261,"7,58",2524,3285.0
35434020120,Ribeirão Preto,01/20,29177.0,78390,"3,94",7452,9640.0
35435010120,Riversul,01/20,1618.0,3019,"28,16",508,620.0
35436000120,Rifaina,01/20,389.0,1580,"8,59",53,59.0
35437090120,Rincão,01/20,1584.0,2890,"13,21",351,438.0
35438080120,Rinópolis,01/20,619.0,1949,"5,81",105,118.0
35439070120,Rio Claro,01/20,8442.0,32820,"4,02",1881,3002.0
35440040120,Rio das Pedras,01/20,1755.0,4999,"4,10",296,406.0
35441030120,Rio Grande da Serra,01/20,6036.0,15261,"11,13",1262,1704.0
35442020120,Riolândia,01/20,1800.0,3902,"17,18",493,648.0
35442510120,Rosana,01/20,2396.0,6533,"12,27",532,735.0
35443010120,Roseira,01/20,1981.0,4186,"18,84",560,687.0
35444000120,Rubiácea,01/20,400.0,1525,"12,45",102,145.0
35445090120,Rubinéia,01/20,208.0,1109,"5,74",44,58.0
35446080120,Sabino,01/20,924.0,2240,"15,60",247,302.0
35447070120,Sagres,01/20,350.0,1250,"14,91",110,145.0
35448060120,Sales,01/20,1116.0,2664,"19,62",369,494.0
35449050120,Sales Oliveira,01/20,970.0,2394,"7,44",183,235.0
35450010120,Salesópolis,01/20,2530.0,5671,"13,40",294,368.0
35451000120,Salmourão,01/20,828.0,2077,"15,15",214,300.0
35451590120,Saltinho,01/20,270.0,957,"2,94",52,90.0
35452090120,Salto,01/20,6280.0,18494,"5,14",1590,2350.0
35453080120,Salto de Pirapora,01/20,4660.0,12292,"9,86",893,1220.0
35454070120,Salto Grande,01/20,1332.0,3486,"12,78",254,331.0
35455060120,Sandovalina,01/20,592.0,1409,"14,61",164,228.0
35456050120,Santa Adélia,01/20,1522.0,5103,"9,91",408,536.0
35457040120,Santa Albertina,01/20,434.0,3044,"6,26",49,62.0
35458030120,Santa Bárbara d'Oeste,01/20,8271.0,23709,"4,09",2015,2786.0
35460090120,Santa Branca,01/20,2281.0,4933,"14,89",605,854.0
35461080120,Santa Clara d'Oeste,01/20,237.0,1074,"10,71",55,94.0
35462070120,Santa Cruz da Conceição,01/20,394.0,1249,"7,32",70,93.0
35462560120,Santa Cruz da Esperança,01/20,190.0,871,"8,78",22,30.0
35463060120,Santa Cruz das Palmeiras,01/20,2214.0,5821,"5,71",213,244.0
35464050120,Santa Cruz do Rio Pardo,01/20,2857.0,9071,"5,34",533,755.0
35465040120,Santa Ernestina,01/20,1204.0,2278,"20,95",364,424.0
35466030120,Santa Fé do Sul,01/20,2515.0,8833,"7,05",586,886.0
35467020120,Santa Gertrudes,01/20,997.0,2978,"3,37",152,255.0
35468010120,Santa Isabel,01/20,6099.0,13270,"10,23",1324,1847.0
35469000120,Santa Lúcia,01/20,544.0,1651,"5,42",73,97.0
35470070120,Santa Maria da Serra,01/20,807.0,2339,"12,35",190,293.0
35471060120,Santa Mercedes,01/20,437.0,1292,"13,80",96,140.0
35472050120,Santana da Ponte Pensa,01/20,161.0,777,"8,26",16,29.0
35473040120,Santana de Parnaíba,01/20,11477.0,27509,"7,87",2745,3864.0
35474030120,Santa Rita d'Oeste,01/20,165.0,866,"4,55",15,18.0
35475020120,Santa Rita do Passa Quatro,01/20,2081.0,6436,"7,24",462,634.0
35476010120,Santa Rosa de Viterbo,01/20,1849.0,5365,"6,72",326,392.0
35476500120,Santa Salete,01/20,105.0,952,"6,08",19,24.0
35477000120,Santo Anastácio,01/20,2295.0,5747,"11,16",586,767.0
35478090120,Santo André,01/20,57382.0,140084,"8,49",16928,24059.0
35479080120,Santo Antônio da Alegria,01/20,1277.0,2756,"17,02",339,451.0
35480050120,Santo Antônio de Posse,01/20,2906.0,6712,"12,28",587,814.0
35480540120,Santo Antônio do Aracanguá,01/20,1023.0,3109,"12,94",327,487.0
35481040120,Santo Antônio do Jardim,01/20,408.0,1890,"5,72",62,72.0
35482030120,Santo Antônio do Pinhal,01/20,822.0,2736,"11,24",138,158.0
35483020120,Santo Expedito,01/20,333.0,1135,"9,86",69,93.0
35484010120,Santópolis do Aguapeí,01/20,674.0,2260,"14,16",206,284.0
35485000120,Santos,01/20,22508.0,56473,"4,75",6062,8640.0
35486090120,São Bento do Sapucaí,01/20,1421.0,4837,"11,61",242,312.0
35487080120,São Bernardo do Campo,01/20,61235.0,145781,"7,78",18355,26131.0
35488070120,São Caetano do Sul,01/20,2839.0,14373,"1,99",754,924.0
35489060120,São Carlos,01/20,19855.0,42783,"8,00",5543,7488.0
35490030120,São Francisco,01/20,242.0,1025,"8,10",46,66.0
35491020120,São João da Boa Vista,01/20,3533.0,14015,"3,24",404,460.0
35492010120,São João das Duas Pontes,01/20,216.0,1224,"6,15",36,43.0
35492500120,São João de Iracema,01/20,147.0,819,"6,66",20,35.0
35493000120,São João do Pau d'Alho,01/20,283.0,945,"13,50",76,101.0
35494090120,São Joaquim da Barra,01/20,2238.0,6835,"3,59",212,262.0
35495080120,São José da Bela Vista,01/20,2040.0,3796,"23,21",642,814.0
35496070120,São José do Barreiro,01/20,1186.0,2382,"26,19",320,397.0
35497060120,São José do Rio Pardo,01/20,5919.0,11771,"10,04",1495,1922.0
35498050120,São José do Rio Preto,01/20,27868.0,75767,"6,13",8367,11673.0
35499040120,São José dos Campos,01/20,66927.0,158940,"9,83",20395,28262.0
35499530120,São Lourenço da Serra,01/20,3257.0,6444,"21,62",1019,1454.0
35500010120,São Luiz do Paraitinga,01/20,1592.0,3943,"14,00",406,543.0
